Timestamp,Type,X,Y,Z
2025-11-12 13:19:06.565,G,-6.95801,-44.9829,2.86865
2025-11-12 13:19:06.665,A,-0.463867,0.224609,-0.805664
2025-11-12 13:19:06.665,G,-140.808,-159.485,64.5752
2025-11-12 13:19:06.765,A,-0.719238,0.509766,-0.390625
2025-11-12 13:19:06.765,G,-250.854,-130.676,-79.2236
2025-11-12 13:19:06.865,G,4.69971,-93.3228,3.35693
2025-11-12 13:19:06.965,A,-0.857422,0.265625,0.442871
2025-11-12 13:19:06.965,G,-134.46,-335.327,-117.554
2025-11-12 13:19:07.066,A,-0.533203,0.377441,0.0400391
2025-11-12 13:19:07.066,G,-224.976,-83.252,137.634
2025-11-12 13:19:07.166,A,-0.286133,-0.20752,0.5625
2025-11-12 13:19:07.166,G,132.324,-427.856,244.019
2025-11-12 13:19:07.266,A,0.0913086,-0.0302734,0.989746
2025-11-12 13:19:07.266,G,-0.671387,0.305176,21.6064
2025-11-12 13:19:07.366,A,-0.0292969,-0.012207,0.998535
2025-11-12 13:19:07.366,G,-0.549316,-0.0610352,-0.0610352
2025-11-12 13:19:07.466,A,-0.0263672,-0.0117188,1.00098
2025-11-12 13:19:07.466,G,-0.549316,-0.549316,-0.12207
2025-11-12 13:19:07.566,A,-0.121582,-0.0219727,1
2025-11-12 13:19:07.566,G,10.7422,-30.0293,-18.9819
2025-11-12 13:19:07.667,A,-0.0375977,-0.0336914,0.996582
2025-11-12 13:19:07.667,G,2.38037,-9.0332,-2.31934
2025-11-12 13:19:07.767,A,0.156738,-0.0683594,1.00586
2025-11-12 13:19:07.767,G,-15.3809,1.70898,-14.5874
2025-11-12 13:19:07.867,A,-0.0883789,-0.281738,1.08203
2025-11-12 13:19:07.867,G,-197.876,-18.6157,-383.484
2025-11-12 13:19:07.967,A,0.310547,-0.27002,0.845703
2025-11-12 13:19:07.967,G,113.403,-694.519,-112.915
2025-11-12 13:19:08.067,A,0.989258,-0.390137,-0.412109
2025-11-12 13:19:08.067,G,38.4521,-14.9536,140.625
2025-11-12 13:19:08.167,A,0.61377,-0.287109,-0.344727
2025-11-12 13:19:08.168,G,-29.7241,-116.333,47.3633
2025-11-12 13:19:08.268,A,0.726562,-0.375488,-0.51123
2025-11-12 13:19:08.268,G,-51.8188,-92.4683,-26.6724
2025-11-12 13:19:08.368,A,0.682617,-0.29834,-0.594238
2025-11-12 13:19:08.368,G,-58.4106,-82.4585,-58.1055
2025-11-12 13:19:08.468,A,0.277832,-0.196777,-0.963379
2025-11-12 13:19:08.469,G,104.614,-415.894,-26.7334
2025-11-12 13:19:08.568,A,0.0791016,-0.35791,-0.905762
2025-11-12 13:19:08.568,G,-40.2832,-19.043,-8.17871
2025-11-12 13:19:08.668,A,0.0395508,-0.235352,-1.11279
2025-11-12 13:19:08.669,G,6.16455,67.2607,16.0522
2025-11-12 13:19:08.769,A,0.137207,-0.27832,-1.20459
2025-11-12 13:19:08.769,G,3.96729,150.024,7.62939
2025-11-12 13:19:08.869,A,0.38916,-0.125488,-0.34668
2025-11-12 13:19:08.869,G,-7.8125,390.198,-27.832
2025-11-12 13:19:08.969,A,0.693359,-0.241211,-0.187012
2025-11-12 13:19:08.969,G,-23.1323,391.907,-32.4707
2025-11-12 13:19:09.069,A,0.975586,-0.0405273,0.226074
2025-11-12 13:19:09.069,G,-71.167,123.657,-119.141
2025-11-12 13:19:09.169,A,1.00586,-0.0136719,0.142578
2025-11-12 13:19:09.169,G,51.5137,-13.4888,28.6255
2025-11-12 13:19:09.270,A,0.903809,-0.0219727,0.015625
2025-11-12 13:19:09.270,G,-34.1187,-78.7354,20.2637
2025-11-12 13:19:09.370,A,1.31494,-0.498047,-0.870117
2025-11-12 13:19:09.370,G,31.25,-507.263,187.561
2025-11-12 13:19:09.470,A,0.575195,-0.246582,-0.687988
2025-11-12 13:19:09.470,G,-50.415,-63.5986,0.915527
2025-11-12 13:19:09.570,G,-10.5591,-401.123,118.225
2025-11-12 13:19:09.670,A,-0.0136719,-0.294434,-0.878418
2025-11-12 13:19:09.770,A,-0.00878906,-0.249512,-0.980957
2025-11-12 13:19:09.770,G,-7.26318,-1.70898,-14.2212
2025-11-12 13:19:09.871,A,0.489258,-0.237793,-1.18213
2025-11-12 13:19:09.871,G,-72.1436,542.419,29.7241
2025-11-12 13:19:09.971,A,0.902344,-0.270508,-0.500488
2025-11-12 13:19:09.971,G,32.4707,399.78,23.8647
2025-11-12 13:19:10.071,A,0.810059,-0.221191,0.273926
2025-11-12 13:19:10.071,G,69.7632,315.002,20.5078
2025-11-12 13:19:10.171,A,0.794434,-0.0664062,1.00098
2025-11-12 13:19:10.171,G,48.2178,31.311,-154.297
2025-11-12 13:19:10.271,A,1.42871,-1.1377,-1.71631
2025-11-12 13:19:10.272,G,465.576,-1251.65,73.6084
2025-11-12 13:19:10.371,A,-0.207031,-0.115234,-0.933105
2025-11-12 13:19:10.372,G,-255.31,34.79,15.7471
2025-11-12 13:19:10.472,A,0.050293,-0.244629,-0.939941
2025-11-12 13:19:10.472,G,-30.1514,-3.78418,-10.498
2025-11-12 13:19:10.572,A,0.0449219,-0.265625,-0.966309
2025-11-12 13:19:10.572,G,29.7852,-2.99072,6.16455
2025-11-12 13:19:10.672,A,-0.0805664,0.0253906,-0.979492
2025-11-12 13:19:10.672,G,-337.341,1119.38,54.8096
2025-11-12 13:19:10.772,A,0.0898438,-0.277344,-1.13428
